dummy_names,label
anonymous_1,0.0
anonymous_10,0.0
anonymous_100,0.0
anonymous_1000,0.0
anonymous_10000,1.0
anonymous_10001,1.0
anonymous_10002,1.0
anonymous_10003,1.0
anonymous_10004,1.0
anonymous_10005,1.0
anonymous_10006,1.0
anonymous_10007,1.0
anonymous_10008,1.0
anonymous_10009,1.0
anonymous_1001,0.0
anonymous_10010,1.0
anonymous_10011,1.0
anonymous_10012,1.0
anonymous_10013,1.0
anonymous_10014,1.0
anonymous_10015,1.0
anonymous_10016,1.0
anonymous_10017,1.0
anonymous_10018,1.0
anonymous_10019,1.0
anonymous_1002,0.0
anonymous_10020,1.0
anonymous_10021,1.0
anonymous_10022,1.0
anonymous_10023,1.0
anonymous_10024,1.0
anonymous_10025,1.0
anonymous_10026,1.0
anonymous_10027,1.0
anonymous_10028,1.0
anonymous_10029,1.0
anonymous_1003,0.0
anonymous_10030,1.0
anonymous_10031,1.0
anonymous_10032,1.0
anonymous_10033,1.0
anonymous_10034,1.0
anonymous_10035,1.0
anonymous_10036,1.0
anonymous_10037,1.0
anonymous_10038,1.0
anonymous_10039,1.0
anonymous_1004,0.0
anonymous_10040,1.0
anonymous_10041,1.0
anonymous_10042,1.0
anonymous_10043,1.0
anonymous_10044,1.0
anonymous_10045,1.0
anonymous_10046,1.0
anonymous_10047,1.0
anonymous_10048,1.0
anonymous_10049,1.0
anonymous_1005,0.0
anonymous_10050,1.0
anonymous_10051,1.0
anonymous_10052,1.0
anonymous_10053,1.0
anonymous_10054,1.0
anonymous_10055,1.0
anonymous_10056,1.0
anonymous_10057,1.0
anonymous_10058,1.0
anonymous_10059,1.0
anonymous_1006,0.0
anonymous_10060,1.0
anonymous_10061,1.0
anonymous_10062,1.0
anonymous_10063,1.0
anonymous_10064,1.0
anonymous_10065,1.0
anonymous_10066,1.0
anonymous_10067,1.0
anonymous_10068,1.0
anonymous_10069,1.0
anonymous_1007,0.0
anonymous_10070,1.0
anonymous_10071,1.0
anonymous_10072,1.0
anonymous_10073,1.0
anonymous_10074,1.0
anonymous_10075,1.0
anonymous_10076,1.0
anonymous_10077,1.0
anonymous_10078,1.0
anonymous_10079,1.0
anonymous_1008,0.0
anonymous_10080,1.0
anonymous_10081,1.0
anonymous_10082,1.0
anonymous_10083,1.0
anonymous_10084,1.0
anonymous_10085,1.0
anonymous_10086,1.0
anonymous_10087,1.0
anonymous_10088,1.0
anonymous_10089,1.0
anonymous_1009,0.0
anonymous_10090,1.0
anonymous_10091,1.0
anonymous_10092,1.0
anonymous_10093,1.0
anonymous_10094,1.0
anonymous_10095,1.0
anonymous_10096,1.0
anonymous_10097,1.0
anonymous_10098,1.0
anonymous_10099,1.0
anonymous_101,0.0
